round,accuracy,loss
1.000000000000000000e+00,4.114583333333333570e+01,9.099126896924442098e-02
2.000000000000000000e+00,4.114583333333333570e+01,8.607037872489955999e-02
3.000000000000000000e+00,5.781250000000000000e+01,7.633400780873166036e-02
4.000000000000000000e+00,7.916666666666667140e+01,6.716458582215839579e-02
5.000000000000000000e+00,9.375000000000000000e+01,6.161121977493166924e-02
6.000000000000000000e+00,9.270833333333332860e+01,4.980058616234196711e-02
7.000000000000000000e+00,9.531250000000000000e+01,5.526300455029639624e-02
8.000000000000000000e+00,9.531250000000000000e+01,5.633105865369240212e-02
9.000000000000000000e+00,9.739583333333332860e+01,4.494124193054934574e-02
1.000000000000000000e+01,9.895833333333332860e+01,5.104875323983529972e-02
1.100000000000000000e+01,9.739583333333332860e+01,3.971621267394059157e-02
1.200000000000000000e+01,9.895833333333332860e+01,5.234411909299928334e-02
1.300000000000000000e+01,9.895833333333332860e+01,4.549232921352894254e-02
1.400000000000000000e+01,9.635416666666667140e+01,3.787652005818623741e-02
1.500000000000000000e+01,9.843750000000000000e+01,4.880355439268492523e-02
1.600000000000000000e+01,9.843750000000000000e+01,5.468568121513170399e-02
1.700000000000000000e+01,9.895833333333332860e+01,4.915650769651039309e-02
1.800000000000000000e+01,9.687500000000000000e+01,3.969202864876327647e-02
1.900000000000000000e+01,9.895833333333332860e+01,3.634582911809047800e-02
2.000000000000000000e+01,9.843750000000000000e+01,7.066242333770686446e-02
2.100000000000000000e+01,9.843750000000000000e+01,3.405298952055267614e-02
2.200000000000000000e+01,9.947916666666667140e+01,4.578844476691301679e-02
2.300000000000000000e+01,9.947916666666667140e+01,4.447122042471581688e-02
2.400000000000000000e+01,9.947916666666667140e+01,5.496620978650904737e-02
2.500000000000000000e+01,9.947916666666667140e+01,4.147774138580947317e-02
2.600000000000000000e+01,9.583333333333332860e+01,5.573731955721288739e-02
2.700000000000000000e+01,9.739583333333332860e+01,5.627335312354375674e-02
2.800000000000000000e+01,9.791666666666667140e+01,3.028767349005394988e-02
2.900000000000000000e+01,9.791666666666667140e+01,4.628349252132254316e-02
3.000000000000000000e+01,9.895833333333332860e+01,3.916438049518164433e-02
3.100000000000000000e+01,1.000000000000000000e+02,3.882324362067911261e-02
3.200000000000000000e+01,9.947916666666667140e+01,2.988802055193993945e-02
3.300000000000000000e+01,9.739583333333332860e+01,3.532057095632820665e-02
3.400000000000000000e+01,9.843750000000000000e+01,7.092750663327186678e-02
3.500000000000000000e+01,9.739583333333332860e+01,4.983128241172575523e-02
3.600000000000000000e+01,1.000000000000000000e+02,3.207738390685712510e-02
3.700000000000000000e+01,9.895833333333332860e+01,4.346740475753366195e-02
3.800000000000000000e+01,9.895833333333332860e+01,5.187496360980248244e-02
3.900000000000000000e+01,9.947916666666667140e+01,3.033043948736411158e-02
4.000000000000000000e+01,9.947916666666667140e+01,3.262104071669638672e-02
4.100000000000000000e+01,9.895833333333332860e+01,4.006006764661456526e-02
4.200000000000000000e+01,1.000000000000000000e+02,2.439206057676200634e-02
4.300000000000000000e+01,9.947916666666667140e+01,6.055775776376674108e-02
4.400000000000000000e+01,9.947916666666667140e+01,9.244703004908100263e-02
4.500000000000000000e+01,9.895833333333332860e+01,3.290659279601880483e-02
4.600000000000000000e+01,9.843750000000000000e+01,3.463017917557384417e-02
4.700000000000000000e+01,9.895833333333332860e+01,4.105084019143789842e-02
4.800000000000000000e+01,9.739583333333332860e+01,5.378153440579517414e-02
4.900000000000000000e+01,1.000000000000000000e+02,3.700349039555601155e-02
5.000000000000000000e+01,1.000000000000000000e+02,4.228354883151277249e-02
