round,accuracy,loss
1.000000000000000000e+00,4.427083333333333570e+01,9.911369387474325277e-02
2.000000000000000000e+00,4.010416666666666430e+01,8.860837036950720835e-02
3.000000000000000000e+00,4.947916666666666430e+01,7.619807217270135880e-02
4.000000000000000000e+00,6.770833333333332860e+01,6.394143506056731985e-02
5.000000000000000000e+00,8.281250000000000000e+01,5.703040026128292084e-02
6.000000000000000000e+00,8.697916666666667140e+01,5.040860931492514158e-02
7.000000000000000000e+00,8.906250000000000000e+01,4.261969888789786387e-02
8.000000000000000000e+00,9.010416666666667140e+01,3.534562409751944995e-02
9.000000000000000000e+00,9.531250000000000000e+01,3.253446079583631467e-02
1.000000000000000000e+01,9.479166666666667140e+01,3.566145043199261261e-02
1.100000000000000000e+01,9.114583333333332860e+01,2.918570969874660290e-02
1.200000000000000000e+01,9.270833333333332860e+01,2.886034271472857904e-02
1.300000000000000000e+01,9.635416666666667140e+01,2.494714422047965979e-02
1.400000000000000000e+01,9.583333333333332860e+01,2.483939098763383174e-02
1.500000000000000000e+01,9.427083333333332860e+01,1.746522207718549657e-02
1.600000000000000000e+01,9.583333333333332860e+01,2.127163099228508020e-02
1.700000000000000000e+01,9.687500000000000000e+01,2.439235705727090323e-02
1.800000000000000000e+01,9.791666666666667140e+01,2.134115952584478629e-02
1.900000000000000000e+01,9.427083333333332860e+01,1.751369288993171597e-02
2.000000000000000000e+01,9.479166666666667140e+01,1.685306760999891532e-02
2.100000000000000000e+01,9.583333333333332860e+01,1.525539841451164710e-02
2.200000000000000000e+01,9.635416666666667140e+01,1.884553699508412922e-02
2.300000000000000000e+01,9.531250000000000000e+01,2.255394803554129982e-02
2.400000000000000000e+01,9.791666666666667140e+01,1.431935649695030045e-02
2.500000000000000000e+01,9.218750000000000000e+01,2.188253325746498251e-02
2.600000000000000000e+01,9.843750000000000000e+01,1.584505027211788666e-02
2.700000000000000000e+01,9.791666666666667140e+01,1.134405557887576896e-02
2.800000000000000000e+01,9.791666666666667140e+01,1.551096103341680771e-02
2.900000000000000000e+01,9.531250000000000000e+01,2.017956120835151523e-02
3.000000000000000000e+01,9.791666666666667140e+01,1.710528515872687672e-02
3.100000000000000000e+01,9.739583333333332860e+01,6.324107086584263016e-03
3.200000000000000000e+01,9.635416666666667140e+01,1.679391815034452645e-02
3.300000000000000000e+01,9.791666666666667140e+01,1.592418578588371270e-02
3.400000000000000000e+01,9.635416666666667140e+01,2.046160733198121306e-02
3.500000000000000000e+01,9.687500000000000000e+01,1.290775854552824418e-02
3.600000000000000000e+01,9.635416666666667140e+01,1.904666912277106286e-02
3.700000000000000000e+01,9.635416666666667140e+01,1.122289845665768067e-02
3.800000000000000000e+01,9.895833333333332860e+01,2.286465504180847097e-02
3.900000000000000000e+01,1.000000000000000000e+02,1.498732194467164783e-02
4.000000000000000000e+01,9.895833333333332860e+01,1.663947102709547113e-02
4.100000000000000000e+01,9.895833333333332860e+01,1.523096609404698577e-02
4.200000000000000000e+01,9.843750000000000000e+01,1.080016063790228270e-02
4.300000000000000000e+01,9.895833333333332860e+01,1.044182988173108367e-02
4.400000000000000000e+01,9.895833333333332860e+01,1.950858112158786878e-02
4.500000000000000000e+01,9.947916666666667140e+01,1.116179906128107052e-02
4.600000000000000000e+01,9.791666666666667140e+01,1.197519866559559887e-02
4.700000000000000000e+01,9.687500000000000000e+01,4.265116925564408495e-02
4.800000000000000000e+01,9.739583333333332860e+01,7.804774541985655574e-03
4.900000000000000000e+01,9.843750000000000000e+01,1.850687921005879366e-02
5.000000000000000000e+01,9.739583333333332860e+01,1.702912422561869005e-02
