round,accuracy,loss
1.000000000000000000e+00,4.166666666666666430e+01,9.558255473772685196e-02
2.000000000000000000e+00,4.479166666666666430e+01,8.861293829977512360e-02
3.000000000000000000e+00,5.572916666666666430e+01,8.158609022696812485e-02
4.000000000000000000e+00,6.250000000000000000e+01,7.249883148405286692e-02
5.000000000000000000e+00,6.666666666666667140e+01,6.637431556979815628e-02
6.000000000000000000e+00,7.552083333333332860e+01,6.316783077393968437e-02
7.000000000000000000e+00,8.697916666666667140e+01,5.750691745844152547e-02
8.000000000000000000e+00,8.958333333333332860e+01,4.819964858082433773e-02
9.000000000000000000e+00,8.854166666666667140e+01,5.256724942268596601e-02
1.000000000000000000e+01,9.479166666666667140e+01,4.402472981665697671e-02
1.100000000000000000e+01,9.166666666666667140e+01,4.529541666205558204e-02
1.200000000000000000e+01,9.583333333333332860e+01,3.942590532824397087e-02
1.300000000000000000e+01,9.479166666666667140e+01,3.199620689782831096e-02
1.400000000000000000e+01,9.895833333333332860e+01,3.594905169059833122e-02
1.500000000000000000e+01,9.270833333333332860e+01,3.212293027900159359e-02
1.600000000000000000e+01,9.843750000000000000e+01,3.643281382715536643e-02
1.700000000000000000e+01,9.687500000000000000e+01,3.658571685405655194e-02
1.800000000000000000e+01,9.791666666666667140e+01,2.954091616104253387e-02
1.900000000000000000e+01,9.895833333333332860e+01,2.967629627932587277e-02
2.000000000000000000e+01,9.947916666666667140e+01,2.328157498009710002e-02
2.100000000000000000e+01,9.947916666666667140e+01,2.810537110134545338e-02
2.200000000000000000e+01,1.000000000000000000e+02,2.002153203486361360e-02
2.300000000000000000e+01,9.791666666666667140e+01,2.684554869645378733e-02
2.400000000000000000e+01,9.843750000000000000e+01,2.803437370069635295e-02
2.500000000000000000e+01,9.947916666666667140e+01,4.064800799985985452e-02
2.600000000000000000e+01,9.739583333333332860e+01,2.722421226725499702e-02
2.700000000000000000e+01,9.843750000000000000e+01,2.945278399339359629e-02
2.800000000000000000e+01,9.947916666666667140e+01,1.572398239901910341e-02
2.900000000000000000e+01,1.000000000000000000e+02,1.969540763012547421e-02
3.000000000000000000e+01,9.895833333333332860e+01,2.912511072483741498e-02
3.100000000000000000e+01,1.000000000000000000e+02,1.982271462717714525e-02
3.200000000000000000e+01,9.947916666666667140e+01,1.348325253477216518e-02
3.300000000000000000e+01,9.843750000000000000e+01,2.236448693131225934e-02
3.400000000000000000e+01,9.947916666666667140e+01,2.648016140382323039e-02
3.500000000000000000e+01,9.843750000000000000e+01,1.829571765119908378e-02
3.600000000000000000e+01,9.791666666666667140e+01,2.201566985604586080e-02
3.700000000000000000e+01,1.000000000000000000e+02,1.609750702805791411e-02
3.800000000000000000e+01,1.000000000000000000e+02,1.807086949459820249e-02
3.900000000000000000e+01,1.000000000000000000e+02,2.027197083548849810e-02
4.000000000000000000e+01,1.000000000000000000e+02,2.177459887429399055e-02
4.100000000000000000e+01,1.000000000000000000e+02,2.329596009611931487e-02
4.200000000000000000e+01,9.947916666666667140e+01,1.749418023326951635e-02
4.300000000000000000e+01,9.947916666666667140e+01,1.529573748606101978e-02
4.400000000000000000e+01,1.000000000000000000e+02,1.163996807655267793e-02
4.500000000000000000e+01,1.000000000000000000e+02,1.512364323288137649e-02
4.600000000000000000e+01,9.895833333333332860e+01,1.739499989344039932e-02
4.700000000000000000e+01,1.000000000000000000e+02,1.823309756865556727e-02
4.800000000000000000e+01,9.895833333333332860e+01,9.950012221250088829e-03
4.900000000000000000e+01,1.000000000000000000e+02,8.479299352782417032e-03
5.000000000000000000e+01,1.000000000000000000e+02,1.480574593986400816e-02
